sample,category,value
DTB-063-BL,ecDNA,yes
DTB-064-BL,ecDNA,no
DTB-067-PRO,ecDNA,no
DTB-069-BL,ecDNA,no
DTB-071-BL,ecDNA,no
DTB-074-BL,ecDNA,no
DTB-077-PRO,ecDNA,no
DTB-080-BL,ecDNA,no
DTB-083-BL,ecDNA,no
DTB-085-BL,ecDNA,no
DTB-089-BL,ecDNA,no
DTB-090-PRO,ecDNA,yes
DTB-091-BL,ecDNA,no
DTB-092-BL,ecDNA,no
DTB-094-BL,ecDNA,no
DTB-097-PRO,ecDNA,no
DTB-098-PRO2,ecDNA,no
DTB-100-BL,ecDNA,no
DTB-101-BL,ecDNA,no
DTB-102-PRO,ecDNA,yes
DTB-104-BL,ecDNA,yes
DTB-111-PRO,ecDNA,no
DTB-112-BL,ecDNA,no
DTB-119-PRO,ecDNA,no
DTB-121-BL,ecDNA,no
DTB-124-BL,ecDNA,no
DTB-126-BL,ecDNA,no
DTB-127-PRO,ecDNA,no
DTB-128-BL,ecDNA,yes
DTB-129-BL,ecDNA,no
DTB-132-BL,ecDNA,no
DTB-135-PRO,ecDNA,no
DTB-137-PRO,ecDNA,no
DTB-138-BL,ecDNA,no
DTB-140-BL,ecDNA,no
DTB-141-BL,ecDNA,no
DTB-143-BL,ecDNA,no
DTB-146-BL,ecDNA,no
DTB-149-BL,ecDNA,no
DTB-151-BL,ecDNA,no
DTB-156-BL,ecDNA,no
DTB-159-BL,ecDNA,no
DTB-165-PRO,ecDNA,no
DTB-167-PRO,ecDNA,no
DTB-170-BL,ecDNA,no
DTB-172-BL,ecDNA,no
DTB-173-BL,ecDNA,no
DTB-175-BL,ecDNA,no
DTB-176-BL,ecDNA,no
DTB-183-BL,ecDNA,no
DTB-186-BL,ecDNA,yes
DTB-187-BL,ecDNA,no
DTB-188-BL,ecDNA,no
DTB-190-BL,ecDNA,no
DTB-193-BL,ecDNA,no
DTB-194-PRO,ecDNA,no
DTB-201-PRO,ecDNA,no
DTB-202-BL,ecDNA,no
DTB-204-BL,ecDNA,no
DTB-205-BL,ecDNA,no
DTB-206-BL,ecDNA,no
DTB-210-BL,ecDNA,no
DTB-213-BL,ecDNA,no
DTB-214-BL,ecDNA,no
DTB-216-PRO,ecDNA,no
DTB-220-BL,ecDNA,no
DTB-222-BL,ecDNA,no
DTB-223-BL,ecDNA,no
DTB-232-PRO,ecDNA,no
DTB-234-BL,ecDNA,no
DTB-251-BL,ecDNA,no
DTB-252-BL,ecDNA,no
DTB-255-BL,ecDNA,no
DTB-258-BL,ecDNA,no
DTB-260-BL,ecDNA,no
DTB-261-BL,ecDNA,no
DTB-265-PRO,ecDNA,no
DTB-266-BL,ecDNA,no
01115154-TA1,BFB,yes
01115156-TA1,BFB,no
01115156-TC5,BFB,no
01115157-TA3,BFB,no
01115157-TC3,BFB,yes
01115183-TA1,BFB,no
01115202-TC2,BFB,no
01115244-TA3,BFB,no
01115248-TA3,BFB,no
01115249-TC5,BFB,yes
01115257-TA4,BFB,yes
01115263-TA3,BFB,no
01115284-TA9,BFB,no
01115326-TA3,BFB,yes
01115374-TA2,BFB,no
01115378-TA2,BFB,no
01115414-TA1,BFB,no
01115444-TA5,BFB,yes
01115468-TA3,BFB,no
01115503-TC2,BFB,no
01115525-TA1,BFB,no
01115531-TA4,BFB,no
01115549-TA4,BFB,no
01115554-TA2,BFB,no
01115556-TC1,BFB,no
01115569-TC1,BFB,no
01115574-TC3,BFB,no
01115576-TC2,BFB,no
01115577-TC1,BFB,no
01115578-TC4,BFB,no
01115581-TA3,BFB,no
01115589-TC2,BFB,no
01115606-TA2,BFB,yes
01115644-TA1,BFB,no
01115655-TA1,BFB,yes
01115655-TC1,BFB,yes
01115668-TA4,BFB,yes
01115669-TA3,BFB,no
06115115-T,BFB,yes
06115117-T,BFB,no
06115118-T,BFB,yes
6115233-T-C1,BFB,no
DTB-003-BL,BFB,no
DTB-005-BL,BFB,yes
DTB-008-BL,BFB,no
DTB-009-BL,BFB,no
DTB-011-BL,BFB,no
DTB-018-BL,BFB,yes
DTB-019-PRO,BFB,no
DTB-020-BL,BFB,no
DTB-021-BL,BFB,no
DTB-022-BL,BFB,no
DTB-023-BL,BFB,yes
DTB-024-PRO,BFB,yes
DTB-034-BL,BFB,no
DTB-035-BL,BFB,no
DTB-036-BL,BFB,no
DTB-037-BL,BFB,no
DTB-040-BL,BFB,no
DTB-042-BL,BFB,no
DTB-053-BL,BFB,no
DTB-055-PRO,BFB,no
DTB-059-BL,BFB,no
DTB-060-BL,BFB,no
DTB-061-BL,BFB,no
DTB-063-BL,BFB,yes
DTB-064-BL,BFB,no
DTB-067-PRO,BFB,no
DTB-069-BL,BFB,yes
DTB-071-BL,BFB,yes
DTB-074-BL,BFB,no
DTB-077-PRO,BFB,no
DTB-080-BL,BFB,yes
DTB-083-BL,BFB,no
DTB-085-BL,BFB,no
DTB-089-BL,BFB,yes
DTB-090-PRO,BFB,no
DTB-091-BL,BFB,yes
DTB-092-BL,BFB,yes
DTB-094-BL,BFB,yes
DTB-097-PRO,BFB,no
DTB-098-PRO2,BFB,no
DTB-100-BL,BFB,no
DTB-101-BL,BFB,yes
DTB-102-PRO,BFB,yes
DTB-104-BL,BFB,yes
DTB-111-PRO,BFB,no
DTB-112-BL,BFB,no
DTB-119-PRO,BFB,no
DTB-121-BL,BFB,no
DTB-124-BL,BFB,no
DTB-126-BL,BFB,yes
DTB-127-PRO,BFB,no
DTB-128-BL,BFB,no
DTB-129-BL,BFB,no
DTB-132-BL,BFB,no
DTB-135-PRO,BFB,no
DTB-137-PRO,BFB,yes
DTB-138-BL,BFB,no
DTB-140-BL,BFB,no
DTB-141-BL,BFB,yes
DTB-143-BL,BFB,no
DTB-146-BL,BFB,no
DTB-149-BL,BFB,no
DTB-151-BL,BFB,yes
DTB-156-BL,BFB,yes
DTB-159-BL,BFB,no
DTB-165-PRO,BFB,yes
DTB-167-PRO,BFB,yes
DTB-170-BL,BFB,no
DTB-172-BL,BFB,no
DTB-173-BL,BFB,no
DTB-175-BL,BFB,no
DTB-176-BL,BFB,yes
DTB-183-BL,BFB,no
DTB-186-BL,BFB,yes
DTB-187-BL,BFB,no
DTB-188-BL,BFB,no
DTB-190-BL,BFB,yes
DTB-193-BL,BFB,no
DTB-194-PRO,BFB,no
DTB-201-PRO,BFB,no
DTB-202-BL,BFB,yes
DTB-204-BL,BFB,no
DTB-205-BL,BFB,no
DTB-206-BL,BFB,no
DTB-210-BL,BFB,no
DTB-213-BL,BFB,no
DTB-214-BL,BFB,no
DTB-216-PRO,BFB,no
DTB-220-BL,BFB,no
DTB-222-BL,BFB,no
DTB-223-BL,BFB,no
DTB-232-PRO,BFB,no
DTB-234-BL,BFB,no
DTB-251-BL,BFB,no
DTB-252-BL,BFB,no
DTB-255-BL,BFB,yes
DTB-258-BL,BFB,no
DTB-260-BL,BFB,no
DTB-261-BL,BFB,no
DTB-265-PRO,BFB,yes
DTB-266-BL,BFB,no
01115154-TA1,Intragenic AR,yes
01115156-TA1,Intragenic AR,no
01115156-TC5,Intragenic AR,no
01115157-TA3,Intragenic AR,no
01115157-TC3,Intragenic AR,no
01115183-TA1,Intragenic AR,no
01115202-TC2,Intragenic AR,no
01115244-TA3,Intragenic AR,no
01115248-TA3,Intragenic AR,no
01115249-TC5,Intragenic AR,yes
01115257-TA4,Intragenic AR,yes
01115263-TA3,Intragenic AR,no
01115284-TA9,Intragenic AR,no
01115326-TA3,Intragenic AR,yes
01115374-TA2,Intragenic AR,no
01115378-TA2,Intragenic AR,no
01115414-TA1,Intragenic AR,yes
01115444-TA5,Intragenic AR,no
01115468-TA3,Intragenic AR,no
01115503-TC2,Intragenic AR,no
01115525-TA1,Intragenic AR,no
01115531-TA4,Intragenic AR,no
01115549-TA4,Intragenic AR,no
01115554-TA2,Intragenic AR,no
01115556-TC1,Intragenic AR,no
01115569-TC1,Intragenic AR,yes
01115574-TC3,Intragenic AR,no
01115576-TC2,Intragenic AR,no
01115577-TC1,Intragenic AR,no
01115578-TC4,Intragenic AR,no
01115581-TA3,Intragenic AR,no
01115589-TC2,Intragenic AR,no
01115606-TA2,Intragenic AR,yes
01115644-TA1,Intragenic AR,no
01115655-TA1,Intragenic AR,yes
01115655-TC1,Intragenic AR,yes
01115668-TA4,Intragenic AR,yes
01115669-TA3,Intragenic AR,no
06115115-T,Intragenic AR,no
06115117-T,Intragenic AR,no
06115118-T,Intragenic AR,no
6115233-T-C1,Intragenic AR,no
DTB-003-BL,Intragenic AR,yes
DTB-005-BL,Intragenic AR,no
DTB-008-BL,Intragenic AR,no
DTB-009-BL,Intragenic AR,no
DTB-011-BL,Intragenic AR,no
DTB-018-BL,Intragenic AR,yes
DTB-019-PRO,Intragenic AR,no
DTB-020-BL,Intragenic AR,no
DTB-021-BL,Intragenic AR,no
DTB-022-BL,Intragenic AR,no
DTB-023-BL,Intragenic AR,yes
DTB-024-PRO,Intragenic AR,no
DTB-034-BL,Intragenic AR,no
DTB-035-BL,Intragenic AR,no
DTB-036-BL,Intragenic AR,no
DTB-037-BL,Intragenic AR,no
DTB-040-BL,Intragenic AR,no
DTB-042-BL,Intragenic AR,no
DTB-053-BL,Intragenic AR,no
DTB-055-PRO,Intragenic AR,no
DTB-059-BL,Intragenic AR,no
DTB-060-BL,Intragenic AR,no
DTB-061-BL,Intragenic AR,no
DTB-063-BL,Intragenic AR,yes
DTB-064-BL,Intragenic AR,no
DTB-067-PRO,Intragenic AR,no
DTB-069-BL,Intragenic AR,yes
DTB-071-BL,Intragenic AR,yes
DTB-074-BL,Intragenic AR,no
DTB-077-PRO,Intragenic AR,no
DTB-080-BL,Intragenic AR,no
DTB-083-BL,Intragenic AR,no
DTB-085-BL,Intragenic AR,no
DTB-089-BL,Intragenic AR,yes
DTB-090-PRO,Intragenic AR,no
DTB-091-BL,Intragenic AR,no
DTB-092-BL,Intragenic AR,yes
DTB-094-BL,Intragenic AR,yes
DTB-097-PRO,Intragenic AR,no
DTB-098-PRO2,Intragenic AR,no
DTB-100-BL,Intragenic AR,no
DTB-101-BL,Intragenic AR,yes
DTB-102-PRO,Intragenic AR,yes
DTB-104-BL,Intragenic AR,yes
DTB-111-PRO,Intragenic AR,no
DTB-112-BL,Intragenic AR,no
DTB-119-PRO,Intragenic AR,no
DTB-121-BL,Intragenic AR,no
DTB-124-BL,Intragenic AR,yes
DTB-126-BL,Intragenic AR,no
DTB-127-PRO,Intragenic AR,no
DTB-128-BL,Intragenic AR,yes
DTB-129-BL,Intragenic AR,no
DTB-132-BL,Intragenic AR,no
DTB-135-PRO,Intragenic AR,no
DTB-137-PRO,Intragenic AR,no
DTB-138-BL,Intragenic AR,no
DTB-140-BL,Intragenic AR,no
DTB-141-BL,Intragenic AR,yes
DTB-143-BL,Intragenic AR,no
DTB-146-BL,Intragenic AR,no
DTB-149-BL,Intragenic AR,no
DTB-151-BL,Intragenic AR,no
DTB-156-BL,Intragenic AR,yes
DTB-159-BL,Intragenic AR,no
DTB-165-PRO,Intragenic AR,yes
DTB-167-PRO,Intragenic AR,no
DTB-170-BL,Intragenic AR,no
DTB-172-BL,Intragenic AR,no
DTB-173-BL,Intragenic AR,no
DTB-175-BL,Intragenic AR,yes
DTB-176-BL,Intragenic AR,yes
DTB-183-BL,Intragenic AR,no
DTB-186-BL,Intragenic AR,yes
DTB-187-BL,Intragenic AR,no
DTB-188-BL,Intragenic AR,yes
DTB-190-BL,Intragenic AR,no
DTB-193-BL,Intragenic AR,no
DTB-194-PRO,Intragenic AR,no
DTB-201-PRO,Intragenic AR,yes
DTB-202-BL,Intragenic AR,no
DTB-204-BL,Intragenic AR,no
DTB-205-BL,Intragenic AR,no
DTB-206-BL,Intragenic AR,no
DTB-210-BL,Intragenic AR,no
DTB-213-BL,Intragenic AR,no
DTB-214-BL,Intragenic AR,no
DTB-216-PRO,Intragenic AR,no
DTB-220-BL,Intragenic AR,no
DTB-222-BL,Intragenic AR,no
DTB-223-BL,Intragenic AR,no
DTB-232-PRO,Intragenic AR,no
DTB-234-BL,Intragenic AR,no
DTB-251-BL,Intragenic AR,no
DTB-252-BL,Intragenic AR,no
DTB-255-BL,Intragenic AR,no
DTB-258-BL,Intragenic AR,no
DTB-260-BL,Intragenic AR,no
DTB-261-BL,Intragenic AR,no
DTB-265-PRO,Intragenic AR,no
DTB-266-BL,Intragenic AR,no
01115154-TA1,Enhancer TD,yes
01115156-TA1,Enhancer TD,yes
01115156-TC5,Enhancer TD,yes
01115157-TA3,Enhancer TD,no
01115157-TC3,Enhancer TD,no
01115183-TA1,Enhancer TD,no
01115202-TC2,Enhancer TD,yes
01115244-TA3,Enhancer TD,yes
01115248-TA3,Enhancer TD,yes
01115249-TC5,Enhancer TD,yes
01115257-TA4,Enhancer TD,no
01115263-TA3,Enhancer TD,no
01115284-TA9,Enhancer TD,yes
01115326-TA3,Enhancer TD,no
01115374-TA2,Enhancer TD,yes
01115378-TA2,Enhancer TD,no
01115414-TA1,Enhancer TD,yes
01115444-TA5,Enhancer TD,no
01115468-TA3,Enhancer TD,no
01115503-TC2,Enhancer TD,yes
01115525-TA1,Enhancer TD,no
01115531-TA4,Enhancer TD,yes
01115549-TA4,Enhancer TD,no
01115554-TA2,Enhancer TD,yes
01115556-TC1,Enhancer TD,no
01115569-TC1,Enhancer TD,no
01115574-TC3,Enhancer TD,yes
01115576-TC2,Enhancer TD,no
01115577-TC1,Enhancer TD,no
01115578-TC4,Enhancer TD,no
01115581-TA3,Enhancer TD,no
01115589-TC2,Enhancer TD,no
01115606-TA2,Enhancer TD,yes
01115644-TA1,Enhancer TD,no
01115655-TA1,Enhancer TD,no
01115655-TC1,Enhancer TD,no
